2020-05-13 00:00:44,361 INFO 16716 [-/127.0.0.1/-/2053ms GET /admin/exam] [access] 127.0.0.1: - GET /admin/exam HTTP/200 238822 - 2052 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
2020-05-13 00:00:44,585 INFO 13644 [-/127.0.0.1/-/114ms GET /public/js/chunk/admin/home.js] [access] 127.0.0.1: - GET /public/js/chunk/admin/home.js HTTP/200 8811162 http://127.0.0.1:7001/admin/exam 100 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
2020-05-13 00:00:45,742 INFO 13644 [-/127.0.0.1/-/31ms POST /admin/api/checkLogin] [access] 127.0.0.1: - POST /admin/api/checkLogin HTTP/200 118 http://127.0.0.1:7001/admin/exam 15 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
2020-05-13 00:00:45,774 INFO 13644 [-/127.0.0.1/-/36ms POST /admin/api/getExamList] [access] 127.0.0.1: - POST /admin/api/getExamList HTTP/200 2464 http://127.0.0.1:7001/admin/exam 36 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
2020-05-13 00:02:00,433 INFO 13644 [-/127.0.0.1/-/1419ms GET /admin/exam] [access] 127.0.0.1: - GET /admin/exam HTTP/200 238822 - 1418 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
2020-05-13 00:02:00,514 INFO 13644 [-/127.0.0.1/-/23ms GET /public/asset/css/bootstrap.min.css] [access] 127.0.0.1: - GET /public/asset/css/bootstrap.min.css HTTP/200 122540 http://127.0.0.1:7001/admin/exam 19 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
2020-05-13 00:02:00,526 INFO 13644 [-/127.0.0.1/-/34ms POST /admin/api/getExamList] [access] 127.0.0.1: - POST /admin/api/getExamList HTTP/200 2464 - 32 - axios/0.18.1
2020-05-13 00:02:00,539 INFO 13644 [-/127.0.0.1/-/37ms GET /public/js/runtime.js] [access] 127.0.0.1: - GET /public/js/runtime.js HTTP/200 31668 http://127.0.0.1:7001/admin/exam 30 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
2020-05-13 00:02:00,663 INFO 13644 [-/127.0.0.1/-/152ms GET /public/js/chunk/admin/home.js] [access] 127.0.0.1: - GET /public/js/chunk/admin/home.js HTTP/200 8811162 http://127.0.0.1:7001/admin/exam 141 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
2020-05-13 00:02:01,642 INFO 13644 [-/127.0.0.1/-/5ms POST /admin/api/checkLogin] [access] 127.0.0.1: - POST /admin/api/checkLogin HTTP/200 118 http://127.0.0.1:7001/admin/exam 4 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
2020-05-13 00:02:01,645 INFO 13644 [-/127.0.0.1/-/5ms POST /admin/api/getExamList] [access] 127.0.0.1: - POST /admin/api/getExamList HTTP/200 2464 http://127.0.0.1:7001/admin/exam 4 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
